,movie_name,release_year,imdb,metascore,votes
0,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,822755
1,Mad Max: Fury Road,2015,8.1,90,815099
2,The Martian,2015,8.0,80,710212
3,Avengers: Age of Ultron,2015,7.3,66,696457
4,The Revenant,2015,8.0,76,652809
5,Inside Out,2015,8.2,94,563734
6,Jurassic World,2015,7.0,59,554218
7,Ant-Man,2015,7.3,64,530340
8,The Hateful Eight,2015,7.8,68,471893
9,Spotlight,2015,8.1,93,384001
10,Spectre,2015,6.8,60,363670
11,Furious 7,2015,7.2,67,343871
12,Sicario,2015,7.6,82,343475
13,Room,2015,8.1,86,334909
14,The Big Short,2015,7.8,81,326821
15,Mission: Impossible - Rogue Nation,2015,7.4,75,323086
16,Fifty Shades of Grey,2015,4.1,46,285755
17,Bridge of Spies,2015,7.6,81,271273
18,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,264157
19,The Man from U.N.C.L.E.,2015,7.3,56,249640
20,Terminator Genisys,2015,6.4,38,246386
21,Creed,2015,7.6,82,233835
22,Spy,2015,7.0,75,219488
23,Chappie,2015,6.8,41,219128
24,Maze Runner: The Scorch Trials,2015,6.3,43,208164
25,Southpaw,2015,7.4,57,206105
26,Insurgent,2015,6.2,42,205929
27,Minions,2015,6.4,56,200853
28,The Intern,2015,7.1,51,199751
29,Focus,2015,6.6,56,199742
30,San Andreas,2015,6.0,43,199659
31,The Lobster,2015,7.2,82,195161
32,Everest,2015,7.1,64,186535
33,Ted 2,2015,6.3,48,173019
34,The Witch,2015,6.9,83,172217
35,Jupiter Ascending,2015,5.3,40,171154
36,Straight Outta Compton,2015,7.9,72,170022
37,Tomorrowland,2015,6.4,60,165219
38,Black Mass,2015,6.9,68,160049
39,The Danish Girl,2015,7.1,66,152810
40,Cinderella,2015,6.9,67,149686
41,Legend,2015,6.9,55,145401
42,The Age of Adaline,2015,7.2,51,144482
43,Fantastic Four,2015,4.3,27,143814
44,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,822755
45,Mad Max: Fury Road,2015,8.1,90,815099
46,The Martian,2015,8.0,80,710212
47,Avengers: Age of Ultron,2015,7.3,66,696457
48,The Revenant,2015,8.0,76,652809
49,Inside Out,2015,8.2,94,563734
50,Jurassic World,2015,7.0,59,554218
51,Ant-Man,2015,7.3,64,530340
52,The Hateful Eight,2015,7.8,68,471893
53,Spotlight,2015,8.1,93,384001
54,Spectre,2015,6.8,60,363670
55,Furious 7,2015,7.2,67,343871
56,Sicario,2015,7.6,82,343475
57,Room,2015,8.1,86,334909
58,The Big Short,2015,7.8,81,326821
59,Mission: Impossible - Rogue Nation,2015,7.4,75,323086
60,Fifty Shades of Grey,2015,4.1,46,285755
61,Bridge of Spies,2015,7.6,81,271273
62,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,264157
63,The Man from U.N.C.L.E.,2015,7.3,56,249640
64,Terminator Genisys,2015,6.4,38,246386
65,Creed,2015,7.6,82,233835
66,Spy,2015,7.0,75,219488
67,Chappie,2015,6.8,41,219128
68,Maze Runner: The Scorch Trials,2015,6.3,43,208164
69,Southpaw,2015,7.4,57,206105
70,Insurgent,2015,6.2,42,205929
71,Minions,2015,6.4,56,200853
72,The Intern,2015,7.1,51,199751
73,Focus,2015,6.6,56,199742
74,San Andreas,2015,6.0,43,199659
75,The Lobster,2015,7.2,82,195161
76,Everest,2015,7.1,64,186535
77,Ted 2,2015,6.3,48,173019
78,The Witch,2015,6.9,83,172217
79,Jupiter Ascending,2015,5.3,40,171154
80,Straight Outta Compton,2015,7.9,72,170022
81,Tomorrowland,2015,6.4,60,165219
82,Black Mass,2015,6.9,68,160049
83,The Danish Girl,2015,7.1,66,152810
84,Cinderella,2015,6.9,67,149686
85,Legend,2015,6.9,55,145401
86,The Age of Adaline,2015,7.2,51,144482
87,Fantastic Four,2015,4.3,27,143814
88,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,822755
89,Mad Max: Fury Road,2015,8.1,90,815099
90,The Martian,2015,8.0,80,710212
91,Avengers: Age of Ultron,2015,7.3,66,696457
92,The Revenant,2015,8.0,76,652809
93,Inside Out,2015,8.2,94,563734
94,Jurassic World,2015,7.0,59,554218
95,Ant-Man,2015,7.3,64,530340
96,The Hateful Eight,2015,7.8,68,471893
97,Spotlight,2015,8.1,93,384001
98,Spectre,2015,6.8,60,363670
99,Furious 7,2015,7.2,67,343871
100,Sicario,2015,7.6,82,343475
101,Room,2015,8.1,86,334909
102,The Big Short,2015,7.8,81,326821
103,Mission: Impossible - Rogue Nation,2015,7.4,75,323086
104,Fifty Shades of Grey,2015,4.1,46,285755
105,Bridge of Spies,2015,7.6,81,271273
106,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,264157
107,The Man from U.N.C.L.E.,2015,7.3,56,249640
108,Terminator Genisys,2015,6.4,38,246386
109,Creed,2015,7.6,82,233835
110,Spy,2015,7.0,75,219488
111,Chappie,2015,6.8,41,219128
112,Maze Runner: The Scorch Trials,2015,6.3,43,208164
